5:42	Getafe (Ishking11)	3 - 2 (0 - 2)	Wolverhampton (specialist)	channel 1
5:42	Roma (Supernova)	0 - 5 (0 - 1)	Borussia Monchengladbach (OoLancer)	channel 2
5:57	Porto  (Baphomet)	1 - 2 (1 - 1)	Wolverhampton (specialist)	channel 1
5:57	Getafe (Ishking11)	2 - 0 (1 - 0)	Roma (Supernova)	channel 2
6:12	Porto  (Baphomet)	1 - 2 (1 - 0)	Borussia Monchengladbach (OoLancer)	channel 1
6:12	Wolverhampton (specialist)	3 - 0 (2 - 0)	Roma (Supernova)	channel 2
	Cyber Europa League 4:00 - 6:30			
Time	Player (Blue)	Match results	Player (Red)	Video
4:00	Dynamo Kyiv (Fric)	0 - 3 (0 - 0)	Feyenoord (Indra13_27)	channel 3
4:00	CSKA Moscow (Miller)	2 - 1 (0 - 1)	PSV (skripp)	channel 4
4:14	CSKA Moscow (Miller)	1 - 0 (0 - 0)	Feyenoord (Indra13_27)	channel 3
4:14	Braga  (Klexter)	0 - 4 (0 - 2)	PSV (skripp)	channel 4
4:29	Braga  (Klexter)	0 - 5 (0 - 4)	CSKA Moscow (Miller)	channel 3
4:29	PSV (skripp)	3 - 2 (1 - 0)	Dynamo Kyiv (Fric)	channel 4
4:44	Braga  (Klexter)	0 - 2 (0 - 1)	Feyenoord (Indra13_27)	channel 3
4:44	Dynamo Kyiv (Fric)	0 - 0 (0 - 0)	CSKA Moscow (Miller)	channel 4
4:58	PSV (skripp)	0 - 0 (0 - 0)	Feyenoord (Indra13_27)	channel 3
4:58	Dynamo Kyiv (Fric)	1 - 0 (0 - 0)	Braga  (Klexter)	channel 4
5:13	Feyenoord (Indra13_27)	2 - 2 (0 - 2)	Dynamo Kyiv (Fric)	channel 3
5:13	PSV (skripp)	1 - 0 (1 - 0)	CSKA Moscow (Miller)	channel 4
5:28	Feyenoord (Indra13_27)	0 - 1 (0 - 1)	CSKA Moscow (Miller)	channel 3
5:28	PSV (skripp)	3 - 0 (1 - 0)	Braga  (Klexter)	channel 4
5:42	CSKA Moscow (Miller)	1 - 0 (1 - 0)	Braga  (Klexter)	channel 3
5:42	Dynamo Kyiv (Fric)	0 - 1 (0 - 1)	PSV (skripp)	channel 4
5:57	Feyenoord (Indra13_27)	4 - 0 (1 - 0)	Braga  (Klexter)	channel 3
5:57	CSKA Moscow (Miller)	2 - 0 (1 - 0)	Dynamo Kyiv (Fric)	channel 4
6:12	Feyenoord (Indra13_27)	2 - 3 (0 - 3)	PSV (skripp)	channel 3
6:12	Braga  (Klexter)	1 - 0 (0 - 0)	Dynamo Kyiv (Fric)	channel 4
	England Cyber Stars League 8:00 - 10:30			
Time	Player (Blue)	Match results	Player (Red)	Video
8:00	Bournemouth (Sima)	0 - 1 (0 - 0)	Southampton (CarlWhizzer)	channel 1
8:00	Aston Villa (YOSHI)	0 - 1 (0 - 1)	Crystal Palace (Dimqaa)	channel 2
8:14	Aston Villa (YOSHI)	1 - 1 (0 - 0)	Southampton (CarlWhizzer)	channel 1
8:14	Newcastle United (praym)	3 - 0 (2 - 0)	Crystal Palace (Dimqaa)	channel 2
